,date_time,nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,nwp_winddirection,nwp_pressure,lmd_totalirrad,lmd_diffuseirrad,lmd_temperature,lmd_pressure,lmd_winddirection,lmd_windspeed,power,GHI_clear,DNI_clear,DHI_clear,POA_clear,P_theoretical_W,power_W,GHI_ratio,DNI_ratio,K_PV
25,2018-06-30 22:15:00+00:00,138.17,111.91,20.67,50.14,2.51,357.79,930.4,52,22,16.0,934.900024,167,0.0,0.667917,97.9304210220272,300.1594973022157,40.8827592296626,30.71143527171384,601944.1313255912,667917.0,1.4108996832447174,0.3728351126845184,
26,2018-06-30 22:30:00+00:00,173.06,144.17,21.42,49.07,2.2,359.45,930.41,65,27,16.299999,934.799988,167,0.0,0.952137,144.21131985927536,386.7606728284751,52.14741666678883,58.76319435260643,1151758.609311086,952137.0,1.2000444914371204,0.3727628224081048,
27,2018-06-30 22:45:00+00:00,226.87,194.66,22.39,47.59,1.71,2.01,930.51,80,34,16.700001,934.900024,167,0.0,1.4068889999999998,193.4955259015577,459.5171365450586,62.03246960291398,101.0870931355784,1981307.025457337,1406888.9999999998,1.1724818904361738,0.4236185868139269,
28,2018-06-30 23:00:00+00:00,263.36,229.25,23.19,44.78,1.16,4.73,930.7,101,48,17.0,934.799988,167,0.0,2.032173,244.49841524781223,520.1764629445985,70.77368276418963,149.09091247487123,2922181.8845074764,2032173.0,1.0771439959358042,0.4407158268989505,
29,2018-06-30 23:15:00+00:00,318.42,281.82,23.93,42.8,0.79,30.53,930.82,311,153,17.799999,934.900024,260,0.0,2.742723,296.3529449298792,570.8545402060563,78.59193191254124,201.03110805657377,3940209.717908846,2742723.0,1.0744620745217908,0.4936809294680812,0.6960855376641276
30,2018-06-30 23:30:00+00:00,355.06,316.98,24.52,40.86,0.67,67.5,930.8,373,183,19.200001,934.799988,308,0.0,3.524328,348.4264845049701,613.4318702272783,85.66135866706907,255.54716514263,5008724.436795547,3524328.0,1.0190384938861765,0.5167322002401962,0.7036378312428732
31,2018-06-30 23:45:00+00:00,409.48,369.42,25.11,39.86,0.76,110.43,930.74,440,205,21.700001,934.700012,355,0.0,4.3059330000000005,400.224850915776,649.4404318466239,92.11201250641044,311.56396840790336,6106653.7807949055,4305933.0,1.0231248735880514,0.5688281509507936,0.7051215206504625
32,2018-07-01 00:00:00+00:00,445.24,403.99,25.66,38.08,1.0,120.39,930.76,509,237,21.9,934.700012,49,0.0,5.073327,450.9171532470842,678.6348197694674,98.37306876873332,367.9428604824196,7211680.0654554255,5073327.0,0.9874097642855176,0.5952980722934842,0.7034875304995403
33,2018-07-01 00:15:00+00:00,497.82,454.93,26.13,36.6,1.3,114.9,930.84,576,268,21.799999,934.700012,347,0.0,5.96862,500.9871291732221,704.9398815978343,103.864539084306,424.47610666153184,8319731.690566023,5968620.0,0.9936782224755977,0.6453458115731009,0.7174053469498284
34,2018-07-01 00:30:00+00:00,531.97,488.09,26.59,35.53,1.7,109.97,930.87,647,303,22.799999,934.700012,356,0.0,6.835491,549.7151129668096,727.5823634218506,108.94906562495083,481.3559365560947,9434576.356499456,6835491.0,0.9677194376719257,0.6708381408593964,0.7245148845810175
35,2018-07-01 00:45:00+00:00,581.54,536.29,27.03,34.31,2.24,104.4,930.84,711,334,23.5,934.599976,7,0.0,7.631307,596.8208118441293,747.1527101015603,113.66293399632002,535.6610473014024,10498956.527107488,7631307.0,0.9743963153749401,0.7177782971932233,0.7268633773553171
